center_id,sku,model,diopter,cyl,stock_class,forecasted_units,safety_stock,target_units,current_stock,excess_stock,less_stock
ELW,PC580_20.5,PC580,20.5,NA,Mainstream,14,9,23,20,0,3
ELW,PC580_21.5,PC580,21.5,NA,Mainstream,14,9,23,20,0,3
ELW,PC580_22,PC580,22,NA,Mainstream,14,8,22,20,0,2
ELW,PC580_20,PC580,20,NA,Mainstream,12,8,20,20,0,0
ELW,PC580_21,PC580,21,NA,Mainstream,12,7,19,20,1,0
ELW,PC580_18.5,PC580,18.5,NA,Mainstream,11,7,18,16,0,2
ELW,PC580_19.5,PC580,19.5,NA,Mainstream,11,7,18,20,2,0
ELW,PC580_22.5,PC580,22.5,NA,Mainstream,11,7,18,20,2,0
ELW,PC580_19,PC580,19,NA,Mainstream,9,6,15,20,5,0
ELW,PC580_18,PC580,18,NA,Average,7,4,11,16,5,0
ELW,PC580_23,PC580,23,NA,Mainstream,7,4,11,20,9,0
ELW,PC580_17.5,PC580,17.5,NA,Average,6,4,10,16,6,0
ELW,PC580_23.5,PC580,23.5,NA,Average,6,4,10,20,10,0
ELW,PC580_24,PC580,24,NA,Mainstream,6,4,10,16,6,0
ELW,PC580_16.5,PC580,16.5,NA,Average,4,3,7,8,1,0
ELW,PC580_17,PC580,17,NA,Average,4,3,7,8,1,0
ELW,PC580_15,PC580,15,NA,Average,3,2,5,6,1,0
ELW,PC580_16,PC580,16,NA,Average,3,2,5,8,3,0
ELW,PC580_24.5,PC580,24.5,NA,Average,3,2,5,10,5,0
ELW,PC580_13.5,PC580,13.5,NA,Average,2,1,3,4,1,0
ELW,PC580_14.5,PC580,14.5,NA,Average,2,1,3,6,3,0
ELW,PC580_15.5,PC580,15.5,NA,Tail/Backups,2,1,3,6,3,0
ELW,PC580_25,PC580,25,NA,Tail/Backups,2,1,3,10,7,0
ELW,PC580_25.5,PC580,25.5,NA,Tail/Backups,2,1,3,10,7,0
ELW,PC580_26,PC580,26,NA,Average,2,1,3,6,3,0
ELW,PC580_10,PC580,10,NA,Tail/Backups,1,1,2,4,2,0
ELW,PC580_10.5,PC580,10.5,NA,Tail/Backups,1,1,2,4,2,0
ELW,PC580_13,PC580,13,NA,Tail/Backups,1,1,2,4,2,0
ELW,PC580_14,PC580,14,NA,Tail/Backups,1,1,2,6,4,0
ELW,PC580_26.5,PC580,26.5,NA,Tail/Backups,1,1,2,6,4,0
ELW,PC580_27,PC580,27,NA,Tail/Backups,1,1,2,6,4,0
ELW,PC580_28,PC580,28,NA,Tail/Backups,1,1,2,4,2,0
ELW,PC580_28.5,PC580,28.5,NA,Tail/Backups,1,1,2,1,0,1
ELW,PC580_29.5,PC580,29.5,NA,Tail/Backups,1,1,2,3,1,0
ELW,PC580_-10,PC580,-10,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-9.5,PC580,-9.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-9,PC580,-9,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-8.5,PC580,-8.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-8,PC580,-8,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-7.5,PC580,-7.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-7,PC580,-7,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-6.5,PC580,-6.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-6,PC580,-6,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-5.5,PC580,-5.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-5,PC580,-5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-4.5,PC580,-4.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-4,PC580,-4,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-3.5,PC580,-3.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-3,PC580,-3,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-2.5,PC580,-2.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-2,PC580,-2,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-1.5,PC580,-1.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-1,PC580,-1,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_-0.5,PC580,-0.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_0,PC580,0,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_1,PC580,1,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_1.5,PC580,1.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_2,PC580,2,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_2.5,PC580,2.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_3,PC580,3,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_3.5,PC580,3.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_4,PC580,4,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_4.5,PC580,4.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_5,PC580,5,NA,Tail/Backups,0,0,0,3,3,0
ELW,PC580_5.5,PC580,5.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_6,PC580,6,NA,Tail/Backups,0,0,0,3,3,0
ELW,PC580_6.5,PC580,6.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_7,PC580,7,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_7.5,PC580,7.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_8,PC580,8,NA,Tail/Backups,0,0,0,3,3,0
ELW,PC580_8.5,PC580,8.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_9,PC580,9,NA,Tail/Backups,0,0,0,3,3,0
ELW,PC580_9.5,PC580,9.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_11,PC580,11,NA,Tail/Backups,0,0,0,4,4,0
ELW,PC580_11.5,PC580,11.5,NA,Tail/Backups,0,0,0,1,1,0
ELW,PC580_12,PC580,12,NA,Tail/Backups,0,0,0,4,4,0
ELW,PC580_12.5,PC580,12.5,NA,Tail/Backups,0,0,0,4,4,0
ELW,PC580_27.5,PC580,27.5,NA,Tail/Backups,0,0,0,4,4,0
ELW,PC580_29,PC580,29,NA,Tail/Backups,0,0,0,3,3,0
ELW,PC580_30,PC580,30,NA,Tail/Backups,0,0,0,3,3,0
ELW,PC580_30.5,PC580,30.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_31,PC580,31,NA,Tail/Backups,0,0,0,3,3,0
ELW,PC580_31.5,PC580,31.5,NA,Tail/Backups,0,0,0,0,0,0
ELW,PC580_32,PC580,32,NA,Tail/Backups,0,0,0,3,3,0
ELW,PC580_32.5,PC580,32.5,NA,Tail/Backups,0,0,0,0,0,0
